Image,ID,Total score,Rank,Link,Grand Leuks,Background,Foundation,Body,Clothing,Halos,Eyes,Masks,UNREVEALED,Balds,Vetements,Elements,Bald Masks,Bandanas,Bandana Masks,Kabutos,Kabuto Masks,Almightys,Monolith,Scarlets,Mythic,Alien,Luminous,Natural
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/1178.png?__id=1178,1178,9908.0,20,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/1178,,,,,,,,,,,,,,,,,,31: 0.010% (1/9908),,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/2.png?__id=2,2,9908.0,20,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/2,50: 0.010% (1/9908),,,,,,,,,,,,,,,,,,,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/2021.png?__id=2021,2021,9908.0,20,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/2021,,,,,,,,,,,,,,,,,,33: 0.010% (1/9908),,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/2883.png?__id=2883,2883,9908.0,20,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/2883,,,,,,,,,,,,,,,,,,36: 0.010% (1/9908),,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/3.png?__id=3,3,9908.0,20,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/3,51: 0.010% (1/9908),,,,,,,,,,,,,,,,,,,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/4.png?__id=4,4,9908.0,20,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/4,52: 0.010% (1/9908),,,,,,,,,,,,,,,,,,,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/661.png?__id=661,661,9908.0,20,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/661,,,,,,,,,,,,,,,,,,38: 0.010% (1/9908),,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/685.png?__id=685,685,9908.0,20,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/685,41: 0.010% (1/9908),,,,,,,,,,,,,,,,,,,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/2952.png?__id=2952,2952,8906.06,30,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/2952,,Orange: 3.916% (388/9908),None: 11.516% (1141/9908),,,,Green: 0.656% (65/9908),,,Natural Dark: 0.918% (91/9908),Red Kira Monk with Pink Chain: 0.030% (3/9908),Orange Fragments: 0.283% (28/9908),Yellow Goblin: 0.020% (2/9908),,,,,,,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/1645.png?__id=1645,1645,7733.67,31,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/1645,,Green: 4.088% (405/9908),None: 11.516% (1141/9908),,,,None: 23.143% (2293/9908),,,Natural: 0.999% (99/9908),Teal Kira Monk: 0.040% (4/9908),Purple Liquids: 0.606% (60/9908),Stealth Barbed Wire: 0.020% (2/9908),,,,,,,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/2366.png?__id=2366,2366,7629.5,32,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/2366,,Grey: 3.926% (389/9908),None: 11.516% (1141/9908),,,,Gold: 0.232% (23/9908),,,Natural Dark: 0.918% (91/9908),Diamond Monk with Multi Chain: 0.020% (2/9908),Mega Shards: 0.222% (22/9908),Pink Chronograph: 0.061% (6/9908),,,,,,,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/2464.png?__id=2464,2464,7572.24,33,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/2464,,Purple: 3.845% (381/9908),Blade of Vilasandra: 0.939% (93/9908),,,,Teal: 0.616% (61/9908),,,Essential: 0.293% (29/9908),Yellow Monk with Silver Chain: 0.040% (4/9908),Geo Pins: 0.050% (5/9908),Stealth Masquerade: 0.040% (4/9908),,,,,,,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/3156.png?__id=3156,3156,7413.26,34,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/3156,,Teal: 4.057% (402/9908),Wings of Earth: 0.545% (54/9908),,,,None: 23.143% (2293/9908),,,Natural: 0.999% (99/9908),White Monk: 0.050% (5/9908),Blood Liquids: 0.606% (60/9908),Geo Chronograph: 0.020% (2/9908),,,,,,,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/89.png?__id=89,89,7390.81,35,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/89,,Teal: 4.057% (402/9908),Wings of Blood: 0.565% (56/9908),,,,Brown: 0.868% (86/9908),,,,Orange Monk: 0.061% (6/9908),Jade Liquids: 0.787% (78/9908),,Bandana Red: 0.293% (29/9908),Gold Barbed Wire: 0.020% (2/9908),,,,,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/42.png?__id=42,42,7351.22,36,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/42,,Kira: 1.363% (135/9908),None: 11.516% (1141/9908),,,,None: 23.143% (2293/9908),,,Natural Light: 0.495% (49/9908),White Kira Monk: 0.050% (5/9908),Jade Liquids: 0.787% (78/9908),Stealth Chronograph: 0.020% (2/9908),,,,,,,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/567.png?__id=567,567,7295.49,37,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/567,,Smoke: 4.007% (397/9908),Wings of Emerald: 0.545% (54/9908),,,,None: 23.143% (2293/9908),,,,Diamond Tarantula: 0.030% (3/9908),Blue Liquids: 0.737% (73/9908),,Bandana Red: 0.293% (29/9908),Orange Chain Face: 0.030% (3/9908),,,,,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/2333.png?__id=2333,2333,7283.3,38,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/2333,,Kira: 1.363% (135/9908),None: 11.516% (1141/9908),,,,None: 23.143% (2293/9908),,,Natural Dark: 0.918% (91/9908),Silver Excellence: 0.050% (5/9908),Yellow Liquids: 0.656% (65/9908),Stealth Barbed Wire: 0.020% (2/9908),,,,,,,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/28.png?__id=28,28,7197.69,39,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/28,,Red: 4.400% (436/9908),Aura of Taste: 1.080% (107/9908),,,,None: 23.143% (2293/9908),,,Essential: 0.293% (29/9908),Diamond Monk with Pink Chain: 0.071% (7/9908),Stealth Longsword: 0.273% (27/9908),Purple Masquerade: 0.020% (2/9908),,,,,,,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/288.png?__id=288,288,7187.28,40,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/288,,Smoke: 4.007% (397/9908),Blade of Ahphy: 0.807% (80/9908),,,,Blue: 0.646% (64/9908),,,,Pink Grandmaster: 0.020% (2/9908),None: 0.101% (10/9908),,Bandana Silver: 0.313% (31/9908),Blood Oracle: 0.161% (16/9908),,,,,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/906.png?__id=906,906,7181.64,41,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/906,,Red: 4.400% (436/9908),Aura of Love: 0.717% (71/9908),,,,None: 23.143% (2293/9908),,,Natural: 0.999% (99/9908),Orange Monk with Purple Chain: 0.030% (3/9908),Royal Liquids: 0.323% (32/9908),Green Goblin: 0.030% (3/9908),,,,,,,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/306.png?__id=306,306,7151.58,42,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/306,,Orange: 3.916% (388/9908),Wings of Herbs: 0.626% (62/9908),,,,None: 23.143% (2293/9908),,,Natural Dark: 0.918% (91/9908),Reptile Zone: 0.020% (2/9908),Purple Fragments: 0.151% (15/9908),Glacier Cross Chain: 0.081% (8/9908),,,,,,,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/1246.png?__id=1246,1246,7070.93,43,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/1246,,Orange: 3.916% (388/9908),Aura of Love: 0.717% (71/9908),,,,None: 23.143% (2293/9908),,,,Yellow Monk: 0.020% (2/9908),Blood Liquids: 0.606% (60/9908),,Bandana Dark Camo: 0.273% (27/9908),Grey Chain Face: 0.071% (7/9908),,,,,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/1378.png?__id=1378,1378,7068.38,44,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/1378,,Orange: 3.916% (388/9908),None: 11.516% (1141/9908),,,,Blue: 0.646% (64/9908),,,Natural Dark: 0.918% (91/9908),Orange Monk with Multi Chain: 0.030% (3/9908),Purple Liquids: 0.606% (60/9908),Amethyst Chronograph: 0.030% (3/9908),,,,,,,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/2990.png?__id=2990,2990,6838.05,45,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/2990,,Purple: 3.845% (381/9908),Wings of Pearl: 0.696% (69/9908),,,,None: 23.143% (2293/9908),,,Natural: 0.999% (99/9908),Red Kira Monk: 0.101% (10/9908),Diamond Mini Shards: 0.161% (16/9908),Grey Masquerade: 0.020% (2/9908),,,,,,,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/1435.png?__id=1435,1435,6835.24,46,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/1435,,Orange: 3.916% (388/9908),None: 11.516% (1141/9908),,,,None: 23.143% (2293/9908),,,,Pink Grandmaster: 0.020% (2/9908),Jade Liquids: 0.787% (78/9908),,Bandana Purple: 0.333% (33/9908),Grey Barbed Wire: 0.071% (7/9908),,,,,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/1863.png?__id=1863,1863,6780.54,47,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/1863,,Smoke: 4.007% (397/9908),Aura of Nature: 1.110% (110/9908),,,,None: 23.143% (2293/9908),,,Essential: 0.293% (29/9908),Grey Kira Monk with Purple Chain: 0.081% (8/9908),Jade Liquids: 0.787% (78/9908),Royal Masquerade: 0.020% (2/9908),,,,,,,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/1219.png?__id=1219,1219,6778.38,48,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/1219,,Smoke: 4.007% (397/9908),Aura of Taste: 1.080% (107/9908),,,,Light: 0.747% (74/9908),,,,Royal Grandmaster: 0.020% (2/9908),Yellow Liquids: 0.656% (65/9908),,Bandana Silver: 0.313% (31/9908),Earth Oracle: 0.091% (9/9908),,,,,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/1869.png?__id=1869,1869,6769.1,49,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/1869,,Teal: 4.057% (402/9908),Wings of Pearl: 0.696% (69/9908),,,,None: 23.143% (2293/9908),,,Natural: 0.999% (99/9908),Jade Excellence: 0.071% (7/9908),Jade Liquids: 0.787% (78/9908),Bronze Cross Chain: 0.020% (2/9908),,,,,,,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/3253.png?__id=3253,3253,6767.85,50,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/3253,,Green: 4.088% (405/9908),Wings of History: 0.929% (92/9908),,,,None: 23.143% (2293/9908),,,,Reptile Zone: 0.020% (2/9908),Stealth Longsword: 0.273% (27/9908),,Bandana Silver: 0.313% (31/9908),Blood Chain Face: 0.101% (10/9908),,,,,,,,,
